"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,edss,,text,"Record ID",,,,,,,,,,,,,
date_of_assessment,edss,,text,"Date of Assessment {date_assessment_estimate}",,"Default to 1st of month and 1st of year if date or month are unknown",date_mdy,,,,,,,,,,
date_assessment_estimate,edss,,radio,"Date estimated?","1, This is an exact date (or within several days) | 2, This is an estimate for date, but month/year are exact | 3, This is an estimate for date/month, but year is exact | 4, This is an estimate for date, month, and year",,,,,,,,,,,," @INSTANCETABLE_HIDE"
cat_gait,edss,Ambulation,yesno,"Does the patient have any gait difficulties/abnormalities?",,"If unsure, mark 'Yes' to answer additional questions",,,,,,,,,,," @INSTANCETABLE_HIDE @DEFAULT='0'"
mild_gait_difficulties,edss,,yesno,"Mild gait difficulties? (Fully ambulatory but not unlimited distance)",,,,,,,"[cat_gait] = '1'",,,,,," @INSTANCETABLE_HIDE"
restricted_ambulation,edss,,yesno,"Restricted ambulation?",,"Restricted Ambulation without need for Assistive Device",,,,,"[mild_gait_difficulties] = '0'",,,,,," @INSTANCETABLE_HIDE"
level_of_restricted_ambula,edss,,radio,"Level of restricted ambulation","1, Some limitations in daily activities but able to work full time | 2, Impaired daily activities, can work with provisions | 3, Daily activities completely precluded or severe limitations in gait | 4, Daily activity information not available",,,,,,"[restricted_ambulation] = '1'",,,,,," @INSTANCETABLE_HIDE"
assistance_required,edss,,yesno,"Assistance required? ",,,,,,,"[restricted_ambulation] = '0'",,,,,," @INSTANCETABLE_HIDE"
what_type_of_assistance_is,edss,,radio,"What type of assistance is required? ","1, Unilateral assistance | 2, Bilateral assistance",,,,,,"[assistance_required] = '1'",,,,,," @INSTANCETABLE_HIDE"
ambulation_distance_report,edss,,yesno,"Ambulation distance reported in note?",,,,,,,"[assistance_required] = '0'",,,,,," @INSTANCETABLE_HIDE"
distance_assistance,edss,,radio,"What is the reported distance and assistance required?","1, Bilateral assistance, < 120 m | 2, Unilateral assistance, < 50 m | 3, Bilateral assistance, ≥120 m | 4, Unilateral assistance, ≥50 m | 5, < 100 m | 6, 100 - 199 m | 7, 200 - 299 m | 8, 300 - 499 m | 9, ≥500 m",,,,,,"[ambulation_distance_report] = '1'",,,,,," @INSTANCETABLE_HIDE"
is_the_patient_wheelchair,edss,,yesno,"Is the patient wheelchair or bed-bound?",,,,,,,"[ambulation_distance_report] = '0'",,,,,," @INSTANCETABLE_HIDE"
can_the_patient_get_out_of,edss,,yesno,"Can the patient get out of bed?",,,,,,,"[is_the_patient_wheelchair] = '1'",,,,,," @INSTANCETABLE_HIDE"
what_is_their_functional_a,edss,,radio,"What is their functional ability?","1, Unable to wheel self, but can do activities such as eating or combing hair | 2, Needs some help with transfers and wheeling; can use arms for all other daily activities. | 3, Can wheel self and transfer alone.",,,,,,"[can_the_patient_get_out_of] = '1'",,,,,," @INSTANCETABLE_HIDE"
can_the_use_their_arms,edss,,yesno,"Can the use their arms?",,,,,,,"[can_the_patient_get_out_of] = '0'",,,,,," @INSTANCETABLE_HIDE"
can_communicate_and_or_eat,edss,,yesno,"Can communicate and/or eat?",,,,,,,"[can_the_use_their_arms] = '0'",,,,,," @INSTANCETABLE_HIDE"
ambulatory_fs_score,edss,,calc,"Ambulatory Functional System Score","if([what_is_their_functional_a]='1',12,
if([what_is_their_functional_a]='2',11,
if([what_is_their_functional_a]='3',10,
if([can_the_use_their_arms]='1',13,
if([can_communicate_and_or_eat]='1',14,
if([can_communicate_and_or_eat]='0',15,
if([what_type_of_assistance_is]='1',6,
if([what_type_of_assistance_is]='2',9,
if([level_of_restricted_ambula]='3',4,
if([distance_assistance]='1',9,
if([distance_assistance]='2',8,
if([distance_assistance]='3',7,
if([distance_assistance]='4',6,
if([distance_assistance]='5',5,
if([distance_assistance]='6',4,
if([distance_assistance]='7',3,
if([distance_assistance]='8',2,
if([mild_gait_difficulties]='1',1,
if([mild_gait_difficulties]='0',0,
if([cat_gait]=0,0,
''
))))))))))))))))))))",,,,,,,,,,,," @INSTANCETABLE_HIDE @HIDDEN"
display_ambulation_score,edss,,calc,"Ambulation Functional System Score","if([can_communicate_and_or_eat]= 0, 15,
if([can_communicate_and_or_eat]= 1, 14,
if([can_the_use_their_arms]=1, 13,
if([what_is_their_functional_a]=1, 12,
if([what_is_their_functional_a]=2, 11,
if([what_is_their_functional_a]=3, 10,
if([distance_assistance]=1, 9,
if([distance_assistance]=2, 8,
if([distance_assistance]=3, 7,
if([distance_assistance]=4, 6,
if([distance_assistance]=5, 5,
if([distance_assistance]=6, 4,
if([distance_assistance]=7, 3,
if([distance_assistance]=8, 2,
if([distance_assistance]=9, 1,
if([what_type_of_assistance_is]=1, 6,
if([what_type_of_assistance_is]=2, 9,
if([what_type_of_assistance_is]=2, 9,
if([restricted_ambulation]=1, 99,
if([mild_gait_difficulties]=1, 1, 0
))))))))))))))))))))","An FS score of 99 corresponds to RESTRICTED ambulation",,,,,,,,,,,
cat_vision,edss,Vision,yesno,"<div class=""rich-text-field-label""><p>Does the patient have any visual abnormalities (including acuity, visual field changes, or symptoms/complaints)?</p></div>",,"If unsure, mark 'Yes' to answer additional questions",,,,,,,,,,," @INSTANCETABLE_HIDE"
va_avail,edss,,yesno,"<div class=""rich-text-field-label""><p>Is visual acuity data available?</p></div>",,,,,,,,,,,,," @INSTANCETABLE_HIDE"
worseeye_full,edss,,radio,"What is the visual acuity in the worse eye? (Full scale)","1, 20/20 | 2, 20/21- 20/29 | 3, 20/30- 20/39 | 4, 20/40 - 20/59 | 5, 20/60 - 20/99 | 6, 20/100- 20/199 | 7, 20/200 | 8, Finger Counting | 9, Hand Motion | 10, Light Perception | 11, No light perception",,,,,,[va_avail]='1',,,,,," @INSTANCETABLE_HIDE"
bettereye_full,edss,,radio,"What is the visual acuity in the better eye? (Full scale)","1, 20/20 | 2, 20/21- 20/29 | 3, 20/30- 20/39 | 4, 20/40 - 20/59 | 5, 20/60 - 20/99 | 6, 20/100- 20/199 | 7, 20/200 | 8, Finger Counting | 9, Hand Motion | 10, Light Perception | 11, No light perception",,,,,,[va_avail]='1',,,,,," @INSTANCETABLE_HIDE"
vfs,edss,,radio,"How are the patient's measured visual fields?","1, Normal | 2, Abnormal visual fields | 3, Complete hemianopia or equivalent",,,,,,[cat_vision]='1',,,,,," @INSTANCETABLE_HIDE"
visual_sx_nova,edss,,radio,"How are the visual symptoms described?","1, No mention of vision symptoms | 2, Mention of visual symptoms (but not severe visual symptoms) | 3, Mention of severe visual symptoms","This field is for patients without documented VA or visual symptoms",,,,,[va_avail]='0',,,,,," @INSTANCETABLE_HIDE
@NONEOFTHEABOVE=1"
visual_sx,edss,,radio,"What other vision symptoms does the patient have?","1, No visual symptoms or disc pallor mentioned | 2, Minor scotoma or disc pallor | 3, Large scotoma",,,,,,[cat_vision]='1',,,,,," @INSTANCETABLE_HIDE"
calculated_original_fs,edss,,calc,"Visual Calculated Original FS","if(([worseeye_full] >= 8 and [bettereye_full] >= 5), 6, if((([worseeye_full] = 6 or [worseeye_full] = 7) and ([bettereye_full] = 7 or [bettereye_full] = 6 or [bettereye_full] = 5)), 5, if([worseeye_full] >= 8 and [bettereye_full] <= 4, 5, if((([worseeye_full] = 7 or [worseeye_full] = 6) and [bettereye_full] <= 4) or ([worseeye_full] = 5 and [bettereye_full] = 5) or [vfs] = 3, 4, if(([worseeye_full] = 5 and [bettereye_full] <= 4) or [visual_sx] = 3, 3, if(([worseeye_full] = 4 or [worseeye_full] = 3 or [vfs] = 2), 2, if(([worseeye_full] = 2 or [visual_sx] = 2), 1, if([visual_sx_nova] = 1, 0, if([visual_sx_nova] = 2, 2, if([visual_sx_nova] = 3, 4, if(([va_avail] = 0 or [va_avail] = '') and [cat_vision] = 0, 0, if([worseeye_full] = 1 and [vfs] = 1 and [visual_sx] = 1, 0, if([worseeye_full] = 1 and [cat_vision] = 0, 0, '') ))))))))))))","If this field is blank, ensure that worse eye VA is indeed worse or equal to better eye VA ",,,,,,,,,,," @INSTANCETABLE_HIDE
@DEFAULT="""""
visual_fs_score_adj,edss,,calc,"<div class=""rich-text-field-label""><p>Adjusted Neurostatus Visual FS</p></div>","if([calculated_original_fs]=6,4,
if([calculated_original_fs]=5,3,
if([calculated_original_fs]=4,3,
if([calculated_original_fs]=3,2,
if([calculated_original_fs]=2,2,
if([calculated_original_fs]=1,1,
if([calculated_original_fs]=0,0,"""")))))))",,,,,,,,,,,," @INSTANCETABLE_HIDE
@DEFAULT = """""
cat_bs,edss,Brainstem,yesno,"<div class=""rich-text-field-label""><p>Does the patient have any brainstem abnormalities?</p> <p><span style=""font-weight: normal;""><em>(i.e. double vision/nystagmus, swallowing/speaking abnormalities, facial palsies, etc.)</em></span></p></div>",,"If unsure, mark 'Yes' to answer additional questions",,,,,,,,,,," @INSTANCETABLE_HIDE @DEFAULT='0'"
brain_stem_step_1,edss,,yesno,"Complete inability to speak or swallow?",,,,,,,[cat_bs]='1',,,,,," @INSTANCETABLE_HIDE"
brain_stem_step_2,edss,,yesno,"<div class=""rich-text-field-label""><p>Any of the following present? </p> <ul> <li><span style=""font-weight: normal;"">Severe facial numbness</span></li> <li><span style=""font-weight: normal;"">Severe facial weakness/drooling/patching</span></li> <li><span style=""font-weight: normal;"">Severe hearing loss</span></li> <li><span style=""font-weight: normal;"">Severe dysarthria (incomprehensible speech)</span></li> <li><span style=""font-weight: normal;"">Sustained dysphagia (pureed diet)</span><br /><br /></li> </ul></div>",,,,,,,"[brain_stem_step_1] = '0'",,,,,," @INSTANCETABLE_HIDE"
brain_stem_step_3,edss,,yesno,"<div class=""rich-text-field-label""><p>Any of the following present? </p> <ul> <li><span style=""font-weight: normal;"">INO</span></li> <li><span style=""font-weight: normal;"">Severe EOM abnormality</span></li> <li><span style=""font-weight: normal;"">Severe Nystagmus</span></li> <li><span style=""font-weight: normal;"">Moderate facial numbness</span></li> <li><span style=""font-weight: normal;"">Moderate facial weakness</span></li> <li><span style=""font-weight: normal;"">Moderate hearing loss</span></li> <li><span style=""font-weight: normal;"">Moderate dysarthria</span></li> <li><span style=""font-weight: normal;"">Dysphagia to liquids and solids</span></li> </ul></div>",,,,,,,"[brain_stem_step_2] = '0'",,,,,," @INSTANCETABLE_HIDE"
